                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93799,                 3.7954,                 1.4478,                0.86454,                0.57103,                0.66246,                0.56989,                0.59979,                 3.3086,                 1.1058,                 0.0883,                 0.0013,                 0.0013
                      1,                0.91191,                 2.1377,                 1.4503,                0.79871,                0.94721,                0.94119,                0.81494,                0.51614,                   1.68,                 1.0545,               0.075673,              0.0026733,              0.0026733
                      2,                0.78043,                  1.485,                 1.2804,                0.88001,                 0.9559,                0.96341,                0.82044,                0.65333,                 1.0264,                 1.1816,               0.063019,              0.0040188,              0.0040188
                      3,                0.84467,                 1.3203,                 1.2934,                 0.9325,                0.94417,                0.94737,                0.83573,                0.56953,                0.94388,                 1.0831,               0.050337,              0.0053367,              0.0053367
                      4,                0.86764,                 1.1554,                 1.3286,                0.89523,                0.86454,                0.98167,                0.82331,                0.63253,                 1.0314,                 1.1606,               0.037627,              0.0066268,              0.0066268
                      5,                0.72016,                 1.0455,                 1.1882,                0.81641,                0.90214,                0.92472,                0.72306,                0.81298,                  1.243,                  1.304,               0.024889,              0.0078891,              0.0078891
                      6,                0.73098,                 1.1232,                 1.1448,                0.97768,                0.90838,                0.95927,                0.71918,                0.87895,                0.98083,                 1.4563,               0.012124,              0.0091238,              0.0091238
                      7,                0.84292,                 1.1799,                 1.2638,                0.77486,                0.73464,                0.85599,                0.64947,                0.90659,                 1.7671,                 1.4596,               0.009307,               0.009307,               0.009307
                      8,                0.91249,                 1.1485,                 1.2618,                0.93266,                0.72045,                0.82979,                0.59636,                 1.0141,                 1.1439,                 1.5402,               0.009307,               0.009307,               0.009307
                      9,                0.92451,                 1.2521,                 1.3107,                0.57454,                0.79167,                0.81802,                0.61684,                0.90474,                 1.8249,                 1.3977,               0.009208,               0.009208,               0.009208
                     10,                0.85172,                 1.2589,                 1.2693,                0.89908,                0.80503,                0.89143,                0.67499,                0.86347,                 1.0375,                 1.4543,               0.009109,               0.009109,               0.009109
                     11,                0.86292,                 1.1217,                 1.2639,                0.58171,                0.74692,                0.76621,                0.54662,                0.82893,                   1.94,                 1.3733,                0.00901,                0.00901,                0.00901
                     12,                0.90444,                 1.2884,                 1.3338,                0.61866,                0.83333,                0.81317,                0.61523,                    0.9,                 2.2508,                 1.4115,               0.008911,               0.008911,               0.008911
                     13,                0.92607,                   1.15,                 1.2969,                0.70918,                 0.7359,                0.72989,                0.59147,                0.83594,                 1.0176,                 1.4484,               0.008812,               0.008812,               0.008812
                     14,                0.93277,                 1.1326,                 1.3518,                0.78183,                0.78432,                0.83377,                0.67514,                0.78728,                 1.5966,                 1.4268,               0.008713,               0.008713,               0.008713
                     15,                0.93537,                 1.0188,                  1.378,                0.84334,                0.64885,                0.78949,                0.64445,                0.76943,                 1.4504,                 1.3894,               0.008614,               0.008614,               0.008614
                     16,                 1.0709,                 1.2786,                 1.4528,                0.89181,                0.59776,                0.74555,                  0.546,                 1.0658,                  1.607,                 1.6766,               0.008515,               0.008515,               0.008515
                     17,                0.94829,                 1.1059,                 1.3293,                0.91647,                0.56242,                0.72822,                0.58505,                 0.9484,                 1.3183,                 1.5189,               0.008416,               0.008416,               0.008416
                     18,                0.94619,                 1.0154,                 1.3104,                0.84753,                0.52932,                0.69255,                0.50527,                 1.0179,                 1.3389,                 1.6006,               0.008317,               0.008317,               0.008317
                     19,                 1.0377,                  1.168,                 1.3999,                0.89383,                0.66667,                0.81913,                 0.6311,                0.96799,                  1.407,                 1.6568,               0.008218,               0.008218,               0.008218
                     20,                0.93959,                 1.0875,                 1.3093,                0.74958,                0.59966,                0.66529,                0.43502,                 1.3172,                 1.4372,                 2.0856,               0.008119,               0.008119,               0.008119
                     21,                0.89532,                 1.0071,                 1.3313,                0.60277,                0.70833,                0.73779,                0.54459,                 1.0532,                 1.4355,                 1.5498,                0.00802,                0.00802,                0.00802
                     22,                0.96251,                 1.1063,                 1.3864,                0.81419,                0.79527,                0.83271,                 0.6216,                0.94225,                 1.1992,                 1.5049,               0.007921,               0.007921,               0.007921
                     23,                0.99474,                 1.0246,                 1.3592,                0.86732,                 0.6986,                0.80202,                0.59944,                0.91693,                 1.2059,                 1.4584,               0.007822,               0.007822,               0.007822
                     24,                0.96744,                 1.0852,                 1.4143,                 0.7811,                0.76844,                0.77622,                0.62365,                0.78619,                 1.2359,                 1.4826,               0.007723,               0.007723,               0.007723
