                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0308,                 3.9318,                 1.4714,                0.50014,                  0.375,                0.20665,                0.15528,                0.57407,                 4.5677,                 1.0795,                 0.0928,                 0.0008,                 0.0008
                      1,                0.92272,                 2.5988,                 1.3154,                0.78256,                0.70351,                0.83468,                0.71041,                0.49014,                  2.103,                   1.02,               0.084683,              0.0016832,              0.0016832
                      2,                0.83497,                 1.7771,                 1.2697,                0.96745,                      1,                  0.995,                0.84472,                0.46855,                  1.133,                0.98091,               0.076549,              0.0025485,              0.0025485
                      3,                0.87554,                 1.1427,                   1.34,                0.96898,                0.91667,                0.97227,                0.84851,                 0.4885,                0.91915,                 1.0134,               0.068396,               0.003396,               0.003396
                      4,                0.80482,                 1.0748,                 1.2892,                0.93729,                0.95652,                0.96958,                0.83602,                0.47549,                0.73746,                0.99303,               0.060226,              0.0042258,              0.0042258
                      5,                0.87579,                 1.2873,                 1.2422,                0.97637,                0.95221,                0.98167,                0.74315,                0.69584,                0.80544,                 1.1645,               0.052038,              0.0050376,              0.0050376
                      6,                0.76967,                0.95101,                 1.1848,                0.88204,                0.91667,                0.97181,                0.78054,                0.49824,                  0.943,                 1.0326,               0.043832,              0.0058317,              0.0058317
                      7,                0.72794,                 1.0952,                 1.2383,                0.76208,                0.79167,                0.82728,                0.64332,                0.76724,                 1.1556,                 1.4308,               0.035608,               0.006608,               0.006608
                      8,                0.76796,                0.94147,                 1.2809,                0.72203,                0.80153,                0.78298,                0.61405,                0.74175,                  1.588,                 1.3602,               0.027366,              0.0073664,              0.0073664
                      9,                0.74728,                 1.0539,                 1.2236,                0.78079,                0.73695,                0.91039,                0.70119,                0.67706,                 1.6391,                 1.1518,               0.019107,               0.008107,               0.008107
                     10,                0.77911,                 1.1818,                 1.2143,                0.84028,                0.93314,                0.96034,                 0.8165,                0.59176,                0.92489,                 1.1313,                0.01083,              0.0088298,              0.0088298
                     11,                 0.8395,                 1.2139,                 1.3411,                0.93381,                0.84368,                0.96941,                0.72053,                0.79069,                  1.186,                 1.2652,               0.008911,               0.008911,               0.008911
                     12,                0.87147,                 1.0723,                 1.2483,                0.85001,                 0.7805,                0.91531,                0.69813,                0.80429,                 1.1747,                 1.3015,               0.008911,               0.008911,               0.008911
                     13,                 1.0665,                 1.2523,                 1.4282,                0.86405,                0.76948,                0.87285,                0.54902,                  1.014,                 1.3626,                 1.4597,               0.008812,               0.008812,               0.008812
                     14,                 1.0736,                 1.0151,                 1.5429,                0.52254,                0.68245,                0.59534,                0.39978,                 1.3733,                 1.6636,                 1.9232,               0.008713,               0.008713,               0.008713
                     15,                 0.8319,                0.98785,                 1.2374,                 0.8516,                0.70396,                0.81386,                0.55373,                0.97372,                  1.362,                 1.4927,               0.008614,               0.008614,               0.008614
                     16,                0.95626,                 1.0876,                  1.349,                0.56186,                 0.8993,                0.85559,                0.59577,                0.90493,                 1.8873,                 1.3869,               0.008515,               0.008515,               0.008515
                     17,                0.99358,                 1.0508,                 1.3622,                0.72062,                 0.7818,                0.82863,                 0.5637,                 1.1083,                 1.3899,                 1.5567,               0.008416,               0.008416,               0.008416
                     18,                0.94221,                0.99764,                 1.3648,                0.88255,                0.78667,                0.91293,                0.59654,                0.93698,                 1.0512,                 1.4236,               0.008317,               0.008317,               0.008317
                     19,                 1.0494,                 1.3324,                 1.4534,                0.72105,                0.73637,                0.75997,                0.54128,                0.84744,                  1.295,                 1.3539,               0.008218,               0.008218,               0.008218
                     20,                0.98619,                  1.158,                 1.4239,                0.61689,                0.70833,                0.73541,                0.54336,                0.90716,                   1.39,                 1.5284,               0.008119,               0.008119,               0.008119
                     21,                0.93994,                 1.1478,                 1.3531,                0.69512,                0.73179,                0.80543,                0.57108,                0.90486,                 1.2413,                 1.5622,                0.00802,                0.00802,                0.00802
                     22,                  1.035,                 1.2228,                 1.4588,                0.69842,                0.65605,                0.75283,                0.57375,                0.81204,                 1.3486,                 1.5172,               0.007921,               0.007921,               0.007921
                     23,                 1.2208,                 1.4928,                 1.5855,                0.89308,                0.50643,                0.70318,                0.56593,                0.90089,                  1.668,                 1.6117,               0.007822,               0.007822,               0.007822
                     24,                 1.1552,                 1.2852,                 1.6012,                0.86753,                0.68794,                0.73364,                0.54597,                 1.0389,                 1.4755,                 1.6755,               0.007723,               0.007723,               0.007723
                     25,                0.99541,                 1.2439,                 1.4222,                0.74251,                0.46944,                0.56193,                0.39277,                 1.3251,                 1.8735,                 1.8628,               0.007624,               0.007624,               0.007624
                     26,                0.91984,                 1.1691,                 1.3821,                 0.5951,                0.35136,                0.48219,                0.37697,                0.98198,                 2.1282,                 1.5526,               0.007525,               0.007525,               0.007525
                     27,                 1.0754,                 1.4903,                 1.4571,                0.57186,                0.43901,                 0.6628,                0.52564,                 0.7945,                 1.7356,                 1.4147,               0.007426,               0.007426,               0.007426
                     28,                0.95873,                 1.1478,                 1.3222,                0.42082,                0.41667,                 0.5291,                0.39566,                 0.9049,                 1.8434,                 1.5216,               0.007327,               0.007327,               0.007327
                     29,                 1.0473,                  1.246,                  1.433,                0.46908,                0.70833,                0.68719,                0.42747,                 1.0267,                 2.2304,                 1.6309,               0.007228,               0.007228,               0.007228
