                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.53823,                 3.0783,                 1.0868,                0.92467,                0.81818,                0.91444,                 0.8924,                0.22487,                 1.4854,                0.80844,                 0.0829,                 0.0019,                 0.0019
                      1,                0.43337,                  1.485,                 0.9969,                0.97695,                      1,                  0.995,                0.98755,                0.23313,                0.67128,                0.79724,               0.064845,              0.0038448,              0.0038448
                      2,                 0.4519,                 1.0589,                0.99407,                0.93602,                      1,                  0.995,                 0.9288,                0.27773,                 0.6094,                0.87562,               0.046733,              0.0057331,              0.0057331
                      3,                0.46326,                 1.0153,                0.99473,                0.85083,                0.89233,                0.94517,                0.76445,                0.53027,                0.92893,                  1.068,               0.028565,              0.0075648,              0.0075648
                      4,                0.47015,                 1.0527,                 1.0005,                0.62609,                0.85043,                0.73104,                0.49742,                0.79039,                  5.758,                 1.2705,                0.01034,              0.0093399,              0.0093399
                      5,                0.51966,                 1.1855,                  1.041,                0.67421,                0.63491,                0.77713,                0.52333,                  0.664,                  2.355,                 1.2147,              0.0092929,              0.0092929,              0.0092929
                      6,                0.54806,                  1.039,                 1.0509,                0.55362,                0.55656,                0.63992,                0.48401,                 1.6856,                 2.1525,                  1.922,              0.0092929,              0.0092929,              0.0092929
                      7,                0.60108,                 1.0056,                 1.0941,                0.68878,                0.50447,                0.61756,                0.46998,                 0.9515,                 4.5316,                 1.3601,              0.0091514,              0.0091514,              0.0091514
                      8,                 0.6313,                 1.0667,                 1.1091,                0.56125,                0.73593,                0.65962,                 0.4948,                 1.1631,                 3.6699,                 1.4938,                0.00901,                0.00901,                0.00901
                      9,                0.68908,                0.99148,                 1.1549,                0.56526,                0.90953,                0.73339,                0.49657,                0.65815,                 2.1618,                 1.2437,              0.0088686,              0.0088686,              0.0088686
                     10,                0.68706,                 1.0593,                 1.1416,                0.69936,                0.69212,                0.75378,                0.55588,                 0.5614,                 1.2887,                  1.099,              0.0087271,              0.0087271,              0.0087271
                     11,                 0.6673,                 1.0192,                 1.1203,                0.66124,                0.60606,                0.67457,                0.53985,                0.56846,                 1.1749,                 1.1646,              0.0085857,              0.0085857,              0.0085857
                     12,                0.69583,                 1.0967,                 1.1485,                0.71784,                0.74226,                0.75019,                0.56617,                 1.1756,                 2.1234,                  1.676,              0.0084443,              0.0084443,              0.0084443
                     13,                0.69184,                0.99594,                 1.0999,                0.67308,                0.68602,                0.71836,                0.44933,                0.91886,                  1.889,                 1.3084,              0.0083029,              0.0083029,              0.0083029
                     14,                0.65134,                 1.0018,                   1.09,                0.79829,                0.67374,                0.70163,                0.39801,                 1.0052,                  1.989,                 1.4483,              0.0081614,              0.0081614,              0.0081614
                     15,                0.71695,                 1.0581,                 1.1667,                0.56858,                0.79882,                0.69275,                0.47422,                0.84043,                 1.8515,                 1.3069,                0.00802,                0.00802,                0.00802
                     16,                0.67632,                0.94342,                 1.1059,                0.42734,                0.65479,                0.59001,                0.41989,                 1.9114,                 3.3569,                 2.9675,              0.0078786,              0.0078786,              0.0078786
                     17,                0.72542,                 1.0443,                 1.1354,                0.91328,                0.56425,                0.76238,                0.57513,                 1.8164,                 1.8529,                 2.8005,              0.0077371,              0.0077371,              0.0077371
                     18,                0.70875,                 0.9992,                 1.1355,                  0.767,                 0.7013,                0.75947,                0.61624,                0.65973,                 2.4064,                 1.1232,              0.0075957,              0.0075957,              0.0075957
                     19,                0.70951,                0.98978,                 1.1646,                0.81101,                0.87023,                0.92736,                0.71619,                0.55273,                0.88576,                 1.0817,              0.0074543,              0.0074543,              0.0074543
                     20,                 0.6967,                0.96914,                 1.1448,                0.78824,                0.93092,                0.96866,                0.67635,                 1.0008,                 1.5183,                 1.3129,              0.0073129,              0.0073129,              0.0073129
                     21,                0.70448,                 0.8737,                 1.1395,                0.62054,                0.71734,                0.77116,                0.45063,                 2.1418,                 1.4452,                 2.2646,              0.0071714,              0.0071714,              0.0071714
                     22,                 0.6604,                0.85242,                 1.1214,                0.79191,                0.73137,                0.74458,                0.49612,                  1.963,                 1.2098,                 2.0438,                0.00703,                0.00703,                0.00703
                     23,                0.67269,                0.82463,                 1.0903,                0.85877,                0.59307,                0.69078,                0.44373,                0.78344,                 1.7946,                 1.3372,              0.0068886,              0.0068886,              0.0068886
                     24,                0.64496,                0.84331,                 1.1178,                0.76861,                0.81924,                0.86057,                0.67121,                0.61701,                  1.226,                 1.1597,              0.0067471,              0.0067471,              0.0067471
                     25,                0.71368,                0.98353,                 1.1678,                0.90667,                0.70516,                0.88615,                0.69051,                 1.3284,                 1.6818,                 2.1156,              0.0066057,              0.0066057,              0.0066057
                     26,                 0.6547,                0.85686,                 1.1013,                0.78488,                0.76202,                0.84996,                 0.5923,                 1.5261,                  1.685,                 2.1984,              0.0064643,              0.0064643,              0.0064643
                     27,                0.65251,                0.77685,                 1.1026,                 0.7326,                0.58642,                0.67612,                0.46288,                 1.0954,                 1.8706,                 1.3368,              0.0063229,              0.0063229,              0.0063229
                     28,                0.65689,                0.81592,                 1.0985,                 0.7069,                0.84208,                0.81559,                0.60427,                 1.4889,                  1.809,                 1.5681,              0.0061814,              0.0061814,              0.0061814
                     29,                0.63989,                0.84303,                 1.0963,                0.87012,                0.77764,                0.88182,                 0.6819,                0.90776,                 1.3106,                 1.2127,                0.00604,                0.00604,                0.00604
                     30,                0.64311,                0.81192,                 1.0954,                0.69995,                 0.9697,                0.89482,                 0.7085,                 1.7835,                0.99256,                 1.8624,              0.0058986,              0.0058986,              0.0058986
                     31,                0.60181,                0.78646,                 1.0844,                0.81545,                0.73942,                0.86988,                0.67661,                  1.174,                 1.2798,                  1.596,              0.0057571,              0.0057571,              0.0057571
                     32,                0.60514,                0.80192,                 1.0773,                0.80971,                0.78549,                0.87675,                0.72768,                0.60968,                 1.0953,                 1.1141,              0.0056157,              0.0056157,              0.0056157
                     33,                0.61157,                0.79488,                 1.0896,                0.93504,                0.79654,                0.95434,                0.79063,                0.65776,                0.68593,                 1.1021,              0.0054743,              0.0054743,              0.0054743
                     34,                0.60081,                0.77212,                 1.0882,                0.85969,                0.81011,                0.88008,                0.68911,                0.85447,                 1.2807,                 1.2164,              0.0053329,              0.0053329,              0.0053329
                     35,                0.61077,                0.78201,                 1.0926,                 0.7861,                0.95238,                0.89298,                0.76269,                0.74715,                 1.1875,                 1.1694,              0.0051914,              0.0051914,              0.0051914
                     36,                0.56362,                0.69259,                  1.065,                 0.8519,                0.84416,                0.93196,                0.79325,                0.75667,                 1.3893,                 1.2216,                0.00505,                0.00505,                0.00505
