                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.49736,                 1.0282,                 1.0502,                0.97418,                  0.875,                0.96041,                 0.8274,                0.51101,                0.84015,                 1.0286,                 0.0838,                 0.0018,                 0.0018
                      1,                0.43316,                0.80346,                 1.0009,                0.94526,                0.81183,                0.95078,                0.79747,                0.52517,                0.78969,                 1.0428,               0.066517,              0.0035168,              0.0035168
                      2,                0.45872,                0.78161,                 1.0335,                0.97897,                 0.8265,                0.90702,                0.74544,                0.76962,                0.69526,                 1.2827,               0.049046,              0.0050456,              0.0050456
                      3,                0.45465,                 0.7917,                 1.0052,                0.98828,                0.82441,                0.93598,                0.77129,                0.71029,                0.76072,                 1.2744,               0.031386,              0.0063862,              0.0063862
                      4,                 0.5091,                0.89545,                 1.0326,                0.61559,                0.80085,                0.82979,                0.61878,                0.91908,                 1.1399,                 1.4913,               0.013539,              0.0075388,              0.0075388
                      5,                0.51226,                0.84289,                 1.0499,                 0.6454,                0.77748,                0.82578,                0.65311,                0.85698,                   2.72,                 1.4436,               0.007525,               0.007525,               0.007525
                      6,                 0.5311,                0.71844,                 1.0336,                0.59987,                 0.7303,                0.74289,                0.53629,                0.83906,                 2.3191,                 1.4572,               0.007525,               0.007525,               0.007525
                      7,                0.53059,                0.80712,                 1.0776,                0.77219,                  0.875,                0.84405,                0.54821,                0.80813,                 1.5452,                 1.3857,                0.00703,                0.00703,                0.00703
                      8,                0.61814,                0.91928,                 1.0914,                0.64419,                  0.875,                0.85464,                0.56122,                0.83531,                 1.1834,                 1.5845,               0.006535,               0.006535,               0.006535
                      9,                0.58381,                0.90715,                 1.1017,                0.81552,                0.82427,                0.86681,                0.66874,                0.73839,                  1.017,                 1.4208,                0.00604,                0.00604,                0.00604
                     10,                0.55238,                0.88715,                 1.1786,                0.65292,                0.65679,                0.70761,                0.47518,                 1.0275,                 1.5618,                 2.0213,               0.005545,               0.005545,               0.005545
                     11,                0.45102,                0.63379,                 1.0816,                0.75066,                0.72101,                0.84635,                0.64947,                0.88054,                0.98113,                 1.6257,                0.00505,                0.00505,                0.00505
                     12,                 0.4058,                0.56739,                 1.0236,                 0.8201,                0.82408,                0.91705,                0.68184,                0.79982,                0.74887,                 1.5541,               0.004555,               0.004555,               0.004555
                     13,                0.40634,                0.54715,                 1.0604,                 0.8049,                0.90104,                0.93887,                0.59877,                0.92143,                0.78623,                 1.9249,                0.00406,                0.00406,                0.00406
                     14,                0.40063,                0.58065,                 1.0214,                0.88763,                0.81974,                0.92322,                0.61527,                 0.9107,                0.75959,                 1.9002,               0.003565,               0.003565,               0.003565
                     15,                0.40845,                0.55133,                 1.0402,                0.79596,                 0.8393,                 0.9134,                0.57555,                 0.9317,                0.76779,                 1.9874,                0.00307,                0.00307,                0.00307
                     16,                 0.3652,                0.42846,                0.99544,                0.80419,                 0.8753,                 0.9306,                0.68886,                0.80448,                0.67293,                 1.5108,               0.002575,               0.002575,               0.002575
                     17,                 0.3864,                0.43151,                0.97935,                0.64733,                0.93451,                0.90681,                0.67391,                0.81349,                0.60256,                 1.5627,                0.00208,                0.00208,                0.00208
                     18,                0.30845,                0.34604,                0.94143,                0.74487,                      1,                0.93868,                0.69658,                0.82055,                0.59271,                 1.4918,               0.001585,               0.001585,               0.001585
                     19,                0.33348,                0.34515,                0.96019,                0.76946,                      1,                0.95068,                0.67363,                0.93937,                0.58578,                 1.7864,                0.00109,                0.00109,                0.00109
