                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.33817,                0.33611,                0.95471,                0.87232,                0.87445,                0.92718,                0.65235,                0.91396,                0.53017,                  1.778,                 0.0838,                 0.0018,                 0.0018
                      1,                0.36411,                 0.3803,                0.96678,                0.93005,                 0.7536,                0.90115,                0.65593,                0.90864,                0.61968,                  1.717,               0.066517,              0.0035168,              0.0035168
                      2,                  0.347,                0.36617,                0.95162,                0.93529,                0.77503,                 0.9135,                0.59767,                 1.2178,                0.74385,                 1.9358,               0.049046,              0.0050456,              0.0050456
                      3,                 0.4011,                 0.4789,                 1.0473,                0.84843,                0.86632,                0.90352,                0.54857,                  1.227,                0.69127,                 1.8379,               0.031386,              0.0063862,              0.0063862
                      4,                0.46408,                0.52757,                  1.035,                0.95171,                0.73438,                0.86563,                0.66379,                0.83812,                0.68386,                 1.5273,               0.013539,              0.0075388,              0.0075388
                      5,                0.46877,                0.61323,                 1.0612,                0.70314,                0.82795,                0.83707,                0.57946,                0.93451,                 0.8424,                 1.6817,               0.007525,               0.007525,               0.007525
                      6,                0.47514,                 0.6571,                  1.087,                0.91611,                0.79167,                0.89166,                0.63557,                0.93198,                0.82852,                 1.5105,               0.007525,               0.007525,               0.007525
                      7,                0.51527,                0.65478,                 1.0933,                0.75018,                0.62713,                0.79326,                0.54299,                0.96224,                 1.0656,                 1.7471,                0.00703,                0.00703,                0.00703
                      8,                0.50734,                0.66491,                 1.0373,                0.75118,                0.60948,                0.65224,                0.42369,                 1.3096,                 1.1941,                 2.2019,               0.006535,               0.006535,               0.006535
                      9,                0.48723,                0.63053,                 1.0496,                0.55242,                0.45833,                0.52439,                0.35984,                 1.3143,                 1.4171,                 2.2974,                0.00604,                0.00604,                0.00604
                     10,                0.46274,                0.51824,                  1.079,                 0.5907,                0.70833,                0.69296,                0.42735,                 1.3777,                 1.2521,                 2.5254,               0.005545,               0.005545,               0.005545
                     11,                 0.4669,                0.56428,                 1.0473,                0.60585,                0.82058,                0.80028,                0.53096,                 1.0295,                 1.0317,                 1.9077,                0.00505,                0.00505,                0.00505
                     12,                0.44363,                0.50848,                0.99706,                0.78141,                0.79167,                0.81175,                0.59705,                0.87712,                0.97974,                 1.6077,               0.004555,               0.004555,               0.004555
                     13,                0.40745,                0.46028,                 1.0265,                0.85292,                 0.6649,                0.83903,                0.55598,                0.94945,                  1.089,                 1.6667,                0.00406,                0.00406,                0.00406
                     14,                0.43386,                0.47669,                  1.016,                0.83544,                0.89478,                0.94401,                0.66963,                0.87637,                0.65152,                 1.5727,               0.003565,               0.003565,               0.003565
                     15,                0.46143,                 0.4645,                 1.0446,                0.86282,                0.65751,                  0.845,                  0.583,                 0.9237,                0.89276,                 1.7456,                0.00307,                0.00307,                0.00307
                     16,                0.41232,                0.40771,                 1.0041,                0.85826,                0.62146,                0.82795,                0.53248,                0.94528,                0.91491,                 1.6958,               0.002575,               0.002575,               0.002575
                     17,                0.43614,                0.39264,                0.98029,                 0.7353,                0.75823,                0.86107,                0.59591,                0.88732,                0.81418,                 1.6499,                0.00208,                0.00208,                0.00208
                     18,                0.35047,                0.33197,                0.96123,                 0.8573,                0.68948,                0.85555,                0.63421,                0.90948,                 0.6592,                 1.5992,               0.001585,               0.001585,               0.001585
                     19,                0.37663,                0.35356,                0.96873,                 0.9384,                0.91065,                0.96318,                0.70539,                0.86081,                0.55637,                 1.4811,                0.00109,                0.00109,                0.00109
