                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.46365,                 2.1667,                 3.0338,                 1.0851,                0.98529,                0.99451,                  0.995,                0.97435,                0.98529,                0.99451,                  0.995,                0.85373,                0.20193,                0.66395,                 1.4522,                0.81383,                 0.0829,                 0.0019,                 0.0019
                      1,                0.31149,                 1.2285,                  1.889,                 1.0111,                 0.9757,                      1,                  0.995,                0.97354,                 0.9757,                      1,                  0.995,                0.85945,                0.21965,                0.70239,                0.77909,                0.81831,               0.064514,              0.0035139,              0.0035139
                      2,                0.29604,                 1.1779,                 1.2291,                0.97511,                0.96335,                0.91379,                  0.995,                0.90888,                0.96335,                0.91379,                  0.995,                0.84165,                0.34334,                 0.7132,                 1.2053,                0.93178,               0.045732,              0.0047318,              0.0047318
                      3,                0.31713,                 1.2059,                 1.1149,                0.98697,                0.91022,                0.96919,                  0.995,                0.95499,                0.91022,                0.96919,                  0.995,                0.84327,                 0.2952,                0.67593,                0.52236,                0.88339,               0.026554,              0.0055537,              0.0055537
                      4,                0.31093,                 1.1933,                0.82333,                  0.955,                0.92879,                0.91379,                0.96671,                0.88176,                0.92879,                0.91379,                0.96671,                0.79076,                0.90123,                 1.0772,                0.61825,                 1.6886,              0.0069796,              0.0059796,              0.0059796
                      5,                 0.3193,                0.97578,                0.80817,                0.97504,                0.90654,                0.89793,                0.95591,                0.87402,                0.90654,                0.89793,                0.95591,                0.78548,                0.88802,                 1.3003,                0.71875,                  1.644,                0.00505,                0.00505,                0.00505
                      6,                0.30475,                0.95993,                0.73593,                0.95551,                0.95736,                0.89646,                0.96105,                0.87691,                0.95736,                0.89646,                0.93049,                0.77522,                0.73697,                 1.6864,                 1.4675,                 1.1992,                0.00505,                0.00505,                0.00505
                      7,                0.30631,                0.95064,                0.63102,                0.94361,                0.85265,                0.90589,                0.93833,                0.86034,                0.81985,                0.86147,                0.89806,                0.73429,                 1.6817,                 2.3648,                 1.0083,                 1.6673,                0.00406,                0.00406,                0.00406
                      8,                0.30574,                0.89208,                0.53204,                0.94057,                0.86543,                0.89746,                 0.9182,                0.84418,                0.86543,                0.89746,                 0.9182,                0.76121,                0.31579,                  1.182,                0.67996,                0.94043,                0.00307,                0.00307,                0.00307
                      9,                0.33095,                0.87542,                0.50048,                0.92984,                0.86857,                0.90909,                0.93158,                0.86616,                0.86857,                0.90909,                0.93158,                0.76975,                0.32113,                0.90373,                0.50282,                0.92021,                0.00208,                0.00208,                0.00208
